class,binSpecies,sex,n_dead,rms,ks_D,ndims,external_hazard,n_flags,flags
Mammalia,Pteropus giganteus,f,220,0.01819,0.02923,4,,0,ok
Aves,Psittacula derbiana,m,74,0.02649,0.05661,4,,1,low_n_dead=74
Mammalia,Ovis vignei,f,413,0.03125,0.04955,4,,0,ok
Mammalia,Cebuella pygmaea,f,1202,0.00737,0.01218,4,,0,ok
Aves,Geococcyx californianus,f,146,0.02057,0.04425,4,,0,ok
Reptilia,Furcifer pardalis,m,384,0.00808,0.02041,4,,0,ok
Aves,Aythya collaris,m,49,0.0356,0.06101,4,,1,low_n_dead=49
Mammalia,Equus grevyi,f,531,0.03693,0.05339,4,,0,ok
Mammalia,Hippotragus equinus,f,400,0.02777,0.05346,4,,0,ok
Mammalia,Panthera leo,f,1904,0.02869,0.06547,4,,0,ok
Mammalia,Gazella cuvieri,f,135,0.02076,0.03466,4,,0,ok
Reptilia,Corallus caninus,m,171,0.01589,0.02823,4,,0,ok
Aves,Phalacrocorax carbo,m,115,0.04258,0.06569,4,,0,ok
Mammalia,Theropithecus gelada,f,127,0.03487,0.04604,4,,0,ok
Aves,Nycticorax nycticorax,m,121,0.03127,0.05686,4,,0,ok
Mammalia,Odocoileus hemionus,f,101,0.03012,0.07287,4,,0,ok
Mammalia,Bos frontalis,m,118,0.02378,0.04061,4,,0,ok
Mammalia,Bison bison,f,1027,0.033,0.0719,4,,0,ok
Mammalia,Macaca fascicularis,m,267,0.01357,0.03089,4,,0,ok
Mammalia,Cynomys ludovicianus,f,358,0.02702,0.04262,4,,0,ok
Mammalia,Tragulus javanicus,m,345,0.02363,0.05559,4,,0,ok
Aves,Amazona leucocephala,f,50,0.05848,0.13149,4,,1,low_n_dead=50
Aves,Callipepla gambelii,f,106,0.03728,0.05925,4,,0,ok
Mammalia,Tursiops truncatus,m,55,0.02312,0.03363,4,,1,low_n_dead=55
Aves,Guttera pucherani,f,133,0.02409,0.04601,4,,0,ok
Aves,Mareca strepera,f,140,0.02304,0.03551,4,,0,ok
Mammalia,Aepyceros melampus,f,1203,0.02616,0.05031,4,,0,ok
Aves,Anser anser,m,132,0.01762,0.04775,4,,0,ok
Aves,Plegadis falcinellus,f,130,0.02169,0.02367,4,,0,ok
Mammalia,Hippotragus niger,f,1036,0.01889,0.02696,4,,0,ok
Aves,Lophura leucomelanos,f,126,0.01937,0.03598,4,,0,ok
Reptilia,Malayopython reticulatus,m,49,0.03753,0.09288,5,9.394,2,low_n_dead=49; infant_spike_frac=0.27
Mammalia,Oryx leucoryx,f,889,0.04174,0.06469,4,,0,ok
Aves,Taeniopygia guttata,f,315,0.0257,0.04891,4,,0,ok
Chondrichthyes,Rhinoptera bonasus,m,67,0.07983,0.11732,5,8.665,1,low_n_dead=67
Aves,Vanellus armatus,m,108,0.02446,0.06694,4,,0,ok
Mammalia,Nanger soemmerringii,f,186,0.02158,0.04802,4,,0,ok
Aves,Ciconia ciconia,f,203,0.02066,0.03729,4,,0,ok
Aves,Dacelo leachii,m,51,0.02577,0.03899,4,,1,low_n_dead=51
Mammalia,Mungos mungo,m,424,0.02159,0.03057,4,,0,ok
Aves,Platycercus eximius,m,77,0.0244,0.06927,4,,1,low_n_dead=77
Aves,Ramphastos toco,f,144,0.02765,0.05476,4,,0,ok
Aves,Anas luzonica,f,112,0.02648,0.04225,4,,0,ok
Reptilia,Pantherophis guttatus,m,214,0.01735,0.02537,4,,0,ok
Mammalia,Vicugna vicugna,m,241,0.0186,0.02609,4,,0,ok
Aves,Cossypha niveicapilla,m,112,0.06358,0.10083,5,7.798,1,high_makeham_h=0.00041/d
Aves,Branta leucopsis,f,235,0.02906,0.02993,4,,0,ok
Mammalia,Hystrix africaeaustralis,f,162,0.02474,0.05285,4,,0,ok
Mammalia,Mustela putorius,m,487,0.02045,0.03861,4,,0,ok
Mammalia,Perameles gunnii,m,81,0.03981,0.06346,4,,1,low_n_dead=81
Aves,Phoeniculus purpureus,m,128,0.02129,0.05737,4,,0,ok
Reptilia,Corucia zebrata,f,127,0.04632,0.04409,4,,0,ok
Mammalia,Eulemur rufus,m,60,0.03223,0.06393,4,,1,low_n_dead=60
Mammalia,Phascolarctos cinereus,f,543,0.01018,0.01698,4,,0,ok
Mammalia,Cebuella pygmaea,m,1226,0.00532,0.0071,4,,0,ok
Mammalia,Vicugna pacos,m,452,0.02504,0.06841,4,,0,ok
Aves,Tockus deckeni,m,137,0.0349,0.05082,4,,0,ok
Aves,Geokichla dohertyi,f,139,0.01793,0.03929,4,,0,ok
Aves,Gallus sonneratii,f,53,0.0258,0.04148,4,,1,low_n_dead=53
Mammalia,Dolichotis patagonum,m,1710,0.01456,0.03725,4,,0,ok
Mammalia,Neotragus moschatus,m,139,0.01941,0.04885,4,,0,ok
Reptilia,Manouria emys,f,47,0.04894,0.13241,5,9.576,1,low_n_dead=47
Aves,Callipepla gambelii,m,101,0.03706,0.04652,5,7.782,1,high_makeham_h=0.00042/d
Aves,Amazonetta brasiliensis,m,201,0.01498,0.03389,4,,0,ok
Mammalia,Equus kiang,f,68,0.03732,0.02466,5,9.845,1,low_n_dead=68
Aves,Pelecanus rufescens,m,71,0.02413,0.04935,4,,1,low_n_dead=71
Mammalia,Crocuta crocuta,f,95,0.03091,0.03828,4,,1,low_n_dead=95
Mammalia,Pan troglodytes,f,365,0.03719,0.07679,4,,0,ok
Aves,Aythya valisineria,f,66,0.04698,0.0612,4,,1,low_n_dead=66
Mammalia,Dolichotis patagonum,f,1861,0.00796,0.02198,4,,0,ok
Mammalia,Oryx beisa,f,285,0.04365,0.09939,4,,0,ok
Aves,Tragopan temminckii,f,271,0.01611,0.02935,4,,0,ok
Reptilia,Python regius,f,69,0.04874,0.09597,4,,1,low_n_dead=69
Mammalia,Lemniscomys barbarus,m,106,0.02072,0.04415,4,,0,ok
Aves,Deroptyus accipitrinus,f,49,0.03398,0.0602,4,,1,low_n_dead=49
Mammalia,Cervus hanglu,m,169,0.02784,0.06679,4,,0,ok
Mammalia,Hemitragus jemlahicus,f,457,0.0237,0.0447,4,,0,ok
Mammalia,Symphalangus syndactylus,m,155,0.03687,0.068,4,,0,ok
Mammalia,Lontra canadensis,f,138,0.04518,0.07324,4,,0,ok
Aves,Afropavo congensis,f,260,0.01179,0.02832,4,,0,ok
Mammalia,Tragelaphus strepsiceros,f,989,0.01182,0.01884,4,,0,ok
Aves,Spatula puna,m,96,0.0426,0.08648,4,,2,low_n_dead=96; infant_spike_frac=0.22
Aves,Mycteria ibis,m,56,0.045,0.07412,4,,1,low_n_dead=56
Aves,Hypotaenidia owstoni,f,107,0.01404,0.02963,4,,0,ok
Aves,Dendrocygna bicolor,m,485,0.01337,0.02638,4,,0,ok
Aves,Entomyzon cyanotis,f,85,0.0313,0.0479,4,,1,low_n_dead=85
Aves,Crax rubra,f,80,0.02221,0.03904,4,,1,low_n_dead=80
Mammalia,Erythrocebus patas,m,249,0.01996,0.05021,4,,0,ok
Reptilia,Iguana iguana,m,133,0.01972,0.02617,4,,0,ok
Chondrichthyes,Rhinoptera bonasus,f,60,0.08386,0.09952,5,8.812,2,low_n_dead=60; poor_rms=0.0839
Mammalia,Callithrix jacchus,m,1225,0.01854,0.01245,4,,0,ok
Mammalia,Wallabia bicolor,m,157,0.0136,0.03493,4,,0,ok
Mammalia,Kobus leche,f,1006,0.02416,0.03454,4,,0,ok
Aves,Grus antigone,m,62,0.0357,0.0387,4,,1,low_n_dead=62
Aves,Pogonornis dubius,f,52,0.02744,0.06355,4,,1,low_n_dead=52
Mammalia,Hemitragus jemlahicus,m,419,0.02517,0.03801,4,,0,ok
Mammalia,Muntiacus reevesi,m,693,0.02095,0.04133,4,,0,ok
Aves,Aythya marila,m,55,0.02367,0.04992,4,,1,low_n_dead=55
Aves,Guira guira,f,218,0.02268,0.05418,4,,0,ok
Reptilia,Chlamydosaurus kingii,f,151,0.01403,0.02955,4,,0,ok
Mammalia,Lycaon pictus,f,750,0.02417,0.04373,4,,0,ok
Aves,Tetrao urogallus,f,176,0.01426,0.03759,4,,0,ok
Aves,Lamprotornis regius,f,124,0.02173,0.04221,4,,0,ok
Aves,Neophema splendida,m,170,0.01464,0.02187,4,,0,ok
Reptilia,Boa constrictor,f,299,0.01396,0.0316,4,,0,ok
Reptilia,Acrantophis madagascariensis,m,49,0.05161,0.04251,5,9.503,1,low_n_dead=49
Mammalia,Elaphodus cephalophus,m,81,0.03834,0.06643,4,,1,low_n_dead=81
Aves,Ptilinopus superbus,m,114,0.01609,0.03609,4,,0,ok
Mammalia,Phloeomys pallidus,f,95,0.02151,0.04683,4,,1,low_n_dead=95
Aves,Tringa totanus,m,61,0.04196,0.09955,4,,2,low_n_dead=61; infant_spike_frac=0.23
Aves,Sicalis flaveola,f,79,0.02075,0.05484,4,,1,low_n_dead=79
Aves,Trichoglossus moluccanus,m,578,0.02607,0.03126,4,,0,ok
Aves,Mycteria ibis,f,52,0.04604,0.07665,4,,1,low_n_dead=52
Aves,Nymphicus hollandicus,f,250,0.02352,0.04407,4,,0,ok
Mammalia,Chaetophractus villosus,f,68,0.02891,0.05333,4,,1,low_n_dead=68
Mammalia,Otaria byronia,m,56,0.04401,0.05825,4,,1,low_n_dead=56
Aves,Ducula aenea,f,47,0.02121,0.04884,4,,1,low_n_dead=47
Mammalia,Saguinus oedipus,f,1506,0.00882,0.01368,4,,0,ok
Aves,Artamus superciliosus,m,74,0.03434,0.08048,4,,1,low_n_dead=74
Mammalia,Rucervus eldii,m,632,0.02137,0.0486,4,,0,ok
Aves,Ara macao,m,215,0.01796,0.0315,4,,0,ok
Mammalia,Petrogale xanthopus,m,257,0.0678,0.17031,5,7.532,2,high_makeham_h=0.00054/d; infant_spike_frac=0.42
Reptilia,Sanzinia madagascariensis,m,153,0.02686,0.0362,4,,0,ok
Mammalia,Theropithecus gelada,m,145,0.02216,0.05928,4,,0,ok
Aves,Anseranas semipalmata,m,51,0.04662,0.06123,4,,1,low_n_dead=51
Mammalia,Otolemur garnettii,m,66,0.02987,0.06299,4,,1,low_n_dead=66
Aves,Cyanopica cyanus,m,128,0.02434,0.03792,4,,0,ok
Mammalia,Potos flavus,f,65,0.01882,0.0299,4,,1,low_n_dead=65
Aves,Fratercula cirrhata,m,88,0.02645,0.04545,4,,1,low_n_dead=88
Mammalia,Notamacropus rufogriseus,f,2325,0.00683,0.01194,4,,0,ok
Mammalia,Budorcas taxicolor,m,181,0.04545,0.08187,4,,0,ok
Mammalia,Felis silvestris,m,328,0.02022,0.04514,4,,0,ok
Aves,Coracias caudatus,m,137,0.02612,0.05653,4,,0,ok
Aves,Ciconia nigra,f,75,0.03111,0.06058,4,,1,low_n_dead=75
Aves,Chrysolophus pictus,f,439,0.01464,0.02583,4,,0,ok
Mammalia,Dasyurus viverrinus,f,195,0.01448,0.0355,4,,0,ok
Mammalia,Elephantulus rufescens,f,100,0.0164,0.03381,4,,0,ok
Aves,Anas bernieri,f,242,0.02527,0.05438,4,,0,ok
Aves,Coturnix delegorguei,m,75,0.0212,0.05673,4,,1,low_n_dead=75
Mammalia,Gazella dorcas,f,578,0.00525,0.01579,4,,0,ok
Aves,Diopsittaca nobilis,m,71,0.0197,0.06539,4,,1,low_n_dead=71
Mammalia,Procavia capensis,m,819,0.01057,0.0232,4,,0,ok
Aves,Loriculus galgulus,f,193,0.02049,0.05196,4,,0,ok
Mammalia,Bubalus bubalis,m,200,0.05375,0.03309,5,8.457,1,high_makeham_h=0.00021/d
Reptilia,Lampropeltis polyzona,m,85,0.02106,0.03811,4,,1,low_n_dead=85
Mammalia,Felis nigripes,f,197,0.0314,0.05881,4,,0,ok
Aves,Zapornia flavirostra,m,146,0.02186,0.03259,4,,0,ok
Aves,Spheniscus magellanicus,f,142,0.03541,0.04982,4,,0,ok
Aves,Trichoglossus haematodus,f,445,0.01069,0.02939,4,,0,ok
Aves,Bubo scandiacus,f,469,0.01098,0.0271,4,,0,ok
Aves,Dinemellia dinemelli,m,61,0.02416,0.02973,4,,1,low_n_dead=61
Aves,Radjah radjah,m,127,0.03374,0.05388,4,,0,ok
Mammalia,Notamacropus agilis,f,164,0.02364,0.04252,4,,0,ok
Aves,Dromaius novaehollandiae,f,263,0.01317,0.02472,4,,0,ok
Aves,Coscoroba coscoroba,f,149,0.02063,0.04879,4,,0,ok
Reptilia,Corucia zebrata,m,98,0.02703,0.05953,4,,1,low_n_dead=98
Mammalia,Macaca nigra,f,265,0.02426,0.05728,4,,0,ok
Mammalia,Dama mesopotamica,m,206,0.02886,0.0398,4,,0,ok
Mammalia,Nasua narica,f,188,0.03984,0.07795,4,,0,ok
Mammalia,Saguinus imperator,m,636,0.01236,0.02122,4,,0,ok
Aves,Tangara mexicana,f,105,0.02295,0.0477,4,,0,ok
Mammalia,Lepus timidus,m,72,0.0279,0.06166,4,,1,low_n_dead=72
Mammalia,Acinonyx jubatus,m,1437,0.0162,0.03049,4,,0,ok
Mammalia,Ailurus fulgens,f,826,0.00861,0.02118,4,,0,ok
Mammalia,Saguinus midas,m,370,0.02096,0.03633,4,,0,ok
Aves,Polyplectron inopinatum,m,88,0.03053,0.07406,4,,1,low_n_dead=88
Mammalia,Pseudomys australis,m,82,0.01679,0.0392,4,,1,low_n_dead=82
Aves,Cochlearius cochlearius,f,172,0.01575,0.03561,4,,0,ok
Mammalia,Ovis vignei,m,372,0.02451,0.05012,4,,1,infant_spike_frac=0.23
Aves,Anas laysanensis,m,212,0.01107,0.02412,4,,0,ok
Aves,Sibirionetta formosa,f,133,0.02916,0.04392,4,,0,ok
Aves,Hypotaenidia philippensis,f,94,0.01928,0.04228,4,,1,low_n_dead=94
Mammalia,Callithrix geoffroyi,m,677,0.00906,0.01818,4,,0,ok
Aves,Alopochen aegyptiaca,f,292,0.01293,0.02923,4,,0,ok
Amphibia,Dendrobates tinctorius,f,537,0.01119,0.02314,4,,0,ok
Mammalia,Axis axis,f,1452,0.01973,0.02699,4,,0,ok
Aves,Fratercula arctica,f,79,0.02623,0.04838,4,,1,low_n_dead=79
Aves,Cariama cristata,m,101,0.02263,0.03671,4,,0,ok
Mammalia,Camelus dromedarius,f,248,0.01452,0.024,4,,0,ok
Reptilia,Chelodina mccordi,m,41,0.02753,0.04405,4,,1,low_n_dead=41
Aves,Bubulcus ibis,f,319,0.01552,0.02257,4,,0,ok
Mammalia,Mandrillus sphinx,f,519,0.00974,0.01466,4,,0,ok
Aves,Eudromia elegans,m,336,0.02335,0.05203,4,,0,ok
Mammalia,Crocuta crocuta,m,85,0.02012,0.041,4,,1,low_n_dead=85
Mammalia,Hystrix africaeaustralis,m,165,0.02788,0.06106,4,,0,ok
Aves,Goura cristata,f,91,0.04443,0.04985,4,,1,low_n_dead=91
Mammalia,Gazella spekei,f,355,0.02184,0.03587,4,,0,ok
Aves,Ptilinopus porphyreus,m,95,0.03239,0.06088,4,,1,low_n_dead=95
Aves,Anser caerulescens,f,144,0.01851,0.03705,4,,0,ok
Reptilia,Python bivittatus,f,118,0.01689,0.03679,4,,0,ok
Aves,Netta rufina,f,719,0.00737,0.01574,4,,0,ok
Mammalia,Cephalophus silvicultor,f,82,0.02279,0.0463,4,,1,low_n_dead=82
Aves,Branta hutchinsii,f,127,0.01799,0.02327,4,,0,ok
Aves,Geococcyx californianus,m,143,0.02563,0.04096,4,,0,ok
Aves,Agapornis fischeri,m,78,0.01867,0.0408,4,,1,low_n_dead=78
Mammalia,Galago moholi,m,136,0.01631,0.01853,4,,0,ok
Aves,Cygnus olor,m,141,0.0149,0.03095,4,,0,ok
Aves,Loriculus galgulus,m,192,0.01777,0.02993,4,,0,ok
Mammalia,Sapajus apella,f,270,0.04076,0.03331,5,9.781,0,ok
