binSpecies,genus,family,order,confidence,common_name
Phoca vitulina,Phoca,Phocidae,Carnivora,99,Atlantic harbor seal
Dasyurus maculatus,Dasyurus,Dasyuridae,Dasyuromorphia,99,Spotted-tail Quoll
Arctocephalus pusillus,Arctocephalus,Otariidae,Carnivora,99,Afro-Australian Fur Seal
Aratinga solstitialis,Aratinga,Psittacidae,Psittaciformes,99,Sun Parakeet
Chrysolophus amherstiae,Chrysolophus,Phasianidae,Galliformes,99,Diamond Pheasant
Neophema chrysogaster,Neophema,Psittacidae,Psittaciformes,99,Orange-bellied Parakeet
Platalea leucorodia,Platalea,Threskiornithidae,Pelecaniformes,99,Eurasian Spoonbill
Aythya baeri,Aythya,Anatidae,Anseriformes,99,Baer's Pochard
Branta ruficollis,Branta,Anatidae,Anseriformes,99,
Eidolon helvum,Eidolon,Pteropodidae,Chiroptera,99,African Straw-colored Fruit Bat
Ramphiculus jambu,Ptilinopus,Columbidae,Columbiformes,98,Jambu Fruit-dove
Aotus griseimembra,Aotus,Aotidae,Primates,99,Gray-handed Night Monkey
Aythya fuligula,Aythya,Anatidae,Anseriformes,99,
Pachyuromys duprasi,Pachyuromys,Muridae,Rodentia,99,Beer Mat Gerbil
Antilope cervicapra,Antilope,Bovidae,Artiodactyla,99,Blackbuck
Pygoscelis papua,Pygoscelis,Spheniscidae,Sphenisciformes,99,Gentoo Penguin
Todiramphus cinnamominus,Todiramphus,Alcedinidae,Coraciiformes,99,Guam Kingfisher
Anas capensis,Anas,Anatidae,Anseriformes,99,CATE
Tayassu pecari,Tayassu,Tayassuidae,Artiodactyla,99,
Tragelaphus eurycerus,Tragelaphus,Bovidae,Artiodactyla,99,Bongo
Oreamnos americanus,Oreamnos,Bovidae,Artiodactyla,99,Mountain Goat
Vanellus miles,Vanellus,Charadriidae,Charadriiformes,99,Australasian Spur-winged Plover
Copsychus malabaricus,Copsychus,Muscicapidae,Passeriformes,99,Shama Thrush
Hemiscyllium ocellatum,Hemiscyllium,Hemiscylliidae,Orectolobiformes,99,Blind Shark
Erpeton tentaculatum,Erpeton,Homalopsidae,,99,Arowana snake
Vulpes vulpes,Vulpes,Canidae,Carnivora,99,American Cross Fox
Bitis rhinoceros,Bitis,Viperidae,,99,Rhinoceros Adder
Rupicapra rupicapra,Rupicapra,Bovidae,Artiodactyla,99,(Pronounce: Sha-mee or Sham-wa)
Bucephala albeola,Bucephala,Anatidae,Anseriformes,99,Buffel-headed Duck
Myoprocta pratti,Myoprocta,Dasyproctidae,Rodentia,99,Green Acouchi
Bos taurus,Bos,Bovidae,Artiodactyla,99,Aurochs
Gallicolumba luzonica,Gallicolumba,Columbidae,Columbiformes,99,Bleeding Heart Dove
Testudo hermanni,Testudo,Testudinidae,,99,Eastern Hermann’s Tortoise [boettgeri]
Meleagris ocellata,Meleagris,Phasianidae,Galliformes,99,Ocellated Turkey
Trachypithecus francoisi,Trachypithecus,Cercopithecidae,Primates,99,Black Leaf Monkey
